Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,12882399,Liet-Kynes,"2024-12-04 04:37:11",0.00335,19,"ayushmangupta2614,lietkynes21"
2,12936500,"Los Pollos Hermanos","2024-12-04 02:41:47",0.00218,5,"aryanshahu,minjunchoi00,shmoney62"
3,12867075,"Seven of Nine","2024-12-04 04:18:30",0.00132,13,minsungkang0
4,12971018,Míriel,"2024-12-03 19:38:38",0.00097,7,camilazambrano4858
5,12638742,"Padme Amidala","2024-11-27 01:01:41",0.00082,4,padmeamidala13
6,12798280,"Gríma Wormtongue","2024-12-04 04:42:40",0.00080,8,grimawormtongue
7,12856073,"Joy Gao","2024-12-03 02:00:08",0.00077,2,ivyjoy22
8,13023381,"Kit Fisto","2024-12-03 05:09:50",0.00077,1,rudraphalnikar
9,12983915,"Thorin Oakenshield","2024-12-03 16:50:38",0.00066,4,"abulurdharkonnenii,henrychang2313"
10,13042584,"Han Solo","2024-12-03 04:12:08",0.00057,1,"ashita304,beverlycrusher,ravleenkc,salonijajoo"
11,12626551,"Paul Atreides","2024-12-04 00:02:00",0.00052,4,"peterkurto,shannoncheng"
12,12706538,C-3PO,"2024-11-14 01:43:42",0.00051,4,"gennayavaraski,nschiermeier"
13,12751192,Data,"2024-12-04 04:47:27",0.00050,7,zbot473
14,13032095,Orang,"2024-12-04 00:15:49",0.00049,1,orangcs373
15,13046463,"Jeremy Lu 0773","2024-12-03 15:02:30",0.00047,1,jeremylu0773
16,12702545,"Pavel Chekov","2024-11-28 22:37:11",0.00044,5,maxinimus
17,12957131,"Aurra Sing","2024-11-18 00:35:41",0.00044,1,"aurrasing,wedgeantilles"
18,12995145,"Obi-Wan Kenobi - Mace Windu","2024-11-28 08:02:05",0.00044,1,"hysteriax,rajkher4"
19,12649613,"Ben Skywalker","2024-12-02 16:39:02",0.00044,3,shubhaangagarwal
20,12872311,fifi,"2024-12-02 21:30:28",0.00044,1,"arhanwadhwani,atharvadagr8,kaivalyaagrawal"
21,13000024,Goldberry,"2024-12-03 02:43:40",0.00044,5,"del=6e0904b921ff3255,shaivisnigdha,shatakshishelar,sindhumanicks"
0,12857379,"Example Code","2024-10-30 20:13:33",0.00043,1,
22,12881759,"Captain Rex","2024-11-21 04:53:55",0.00043,2,"aravtewari,saidharanputtamraju"
23,12743019,"Rahm Kota","2024-12-03 06:23:55",0.00043,5,"anirudhkaza,devrdpatel,swastikagarwala,vikhyatjagini"
24,12856191,Watto,"2024-12-02 21:44:47",0.00043,1,"jerec132,kneshio,sanjivacharya"
25,12633686,"Duke Leto I Atreides","2024-12-02 23:31:46",0.00043,2,viditp5904
26,13041162,jitbit,"2024-12-03 22:18:28",0.00043,1,jitbit
27,13046880,"Bard the Bowman","2024-12-03 23:39:59",0.00043,1,jonaslanger
28,12649939,"James T. Kirk","2024-12-03 23:49:29",0.00043,1,wajthewiz
29,12924218,"Bayesian Brains","2024-11-18 21:38:20",0.00038,1,"aakanshakedia,kyukim1"
30,12963422,"jean-luc picard","2024-12-02 20:16:05",0.00038,1,tanushreepaidichetty
31,12856054,Morgoth,"2024-12-03 01:59:59",0.00038,1,joshr12
32,13043335,"Reverend Mother Gaius Helen Mohiam","2024-12-03 23:07:57",0.00038,3,reverendmothergaius
33,13028081,"Pippin Took","2024-12-03 22:02:45",0.00038,1,"eshagarg1,pippintook"
34,13042312,dengar,"2024-12-04 02:32:48",0.00038,1,"ananyagoel926,arykha,riasaxena51,sruthivisvanathan"
35,12846678,Chewbacca,"2024-11-23 20:26:59",0.00035,1,emilysam
36,13042895,"Leto II Atreides","2024-12-03 01:50:12",0.00031,1,letoiiatreides
37,13037459,"Trang Do","2024-12-03 03:41:29",0.00028,3,trangtdo
38,12887716,Torynn,"2024-12-03 12:28:47",0.00028,2,trangtd
39,12633429,"Emperor Palpatine","2024-12-04 00:36:12",0.00028,4,"advaithhari,rahalranasinghe"
40,12670627,"Duncan Idaho","2024-11-30 22:11:12",0.00022,1,cylogan
41,13043562,"Ikonicre Atreides","2024-12-03 04:48:07",0.00022,1,hojinsohn
42,13042450,"Dash Rendar","2024-12-03 15:55:33",0.00020,2,xsidrao
0,12857377,"Nearly Random","2024-10-30 20:23:26",0.00020,1,
43,12691253,Quinto,"2024-12-02 23:23:31",0.00015,1,celiayun
44,12696600,Yoda,"2024-12-03 01:53:09",0.00000,1,saifalkhoori
45,12998340,"Dune Wars","2024-12-04 04:08:49",0.00000,1,"pranatip,ridhitamirasa"
46,12949095,"Feyd-Rautha Rabban","2024-12-04 04:51:05",0.00000,1,agastyakompella
